attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
30,100,34,25,40,100,45,31,45,100,50,34,48,82,100,34,100,63,100,26,a11
29,43,39,28,38,100,100,36,43,100,100,41,47,74,75,45,100,58,59,68,a11
30,48,41,28,39,100,100,36,44,100,100,41,48,76,76,44,100,59,60,75,a11
30,50,39,29,39,100,100,36,45,100,100,41,49,75,76,45,100,59,60,100,a11
31,68,41,29,40,100,100,37,45,100,100,42,49,76,77,46,100,59,61,100,a11
28,36,34,27,37,68,49,35,43,100,100,41,49,83,87,46,100,61,92,64,a11
29,44,40,29,38,100,55,36,43,100,100,41,47,89,100,45,60,72,100,56,a11
30,38,43,28,38,55,100,37,45,100,100,44,90,65,100,100,42,49,53,100,a11
30,40,49,29,39,57,100,38,47,100,100,45,100,66,100,100,42,49,53,100,a11
30,49,39,28,39,100,100,36,44,100,100,41,49,75,76,45,100,59,60,100,a11
31,90,41,29,40,100,100,37,45,100,100,42,50,77,78,46,100,59,61,100,a11
30,44,40,29,38,100,100,36,43,100,100,41,47,75,76,45,100,59,59,68,a11
31,100,68,29,41,100,100,39,46,100,100,44,55,100,100,48,100,61,63,100,a11
29,40,38,29,38,100,56,36,43,100,100,41,48,73,73,46,100,57,58,100,a11
30,54,46,29,39,100,100,38,45,100,100,43,49,100,100,48,100,60,61,100,a11
30,100,48,29,40,100,100,38,46,100,100,43,50,100,100,47,100,59,63,100,a11
29,100,50,28,40,100,100,38,46,100,100,44,54,100,100,48,100,57,68,100,a11
29,38,36,28,38,75,51,36,43,100,100,41,49,82,86,46,100,61,88,65,a11
28,34,33,27,37,90,51,36,43,100,100,42,49,80,86,48,100,57,100,100,a11
28,34,33,27,37,90,51,36,43,100,100,42,49,80,86,48,100,57,100,100,a11
28,34,33,27,37,90,51,36,43,100,100,42,49,80,86,48,100,57,100,100,a11
26,30,38,24,34,100,99,44,43,77,100,50,55,77,72,58,39,46,46,36,a11
26,30,35,23,33,100,100,43,43,78,100,50,56,90,73,59,38,46,45,35,a11
30,48,42,29,39,100,100,37,44,100,100,42,49,100,100,46,100,58,60,100,a11
29,52,42,28,39,100,100,37,44,100,100,42,49,100,100,46,100,60,62,100,a11
29,42,39,29,38,100,57,36,43,100,100,42,48,82,85,46,100,64,75,64,a11
30,47,42,29,39,100,100,38,45,100,100,43,52,83,93,49,100,65,100,100,a11
30,47,42,29,39,100,100,38,45,100,100,43,52,83,93,49,100,65,100,100,a11
30,47,42,29,39,100,100,38,45,100,100,43,52,83,93,49,100,65,100,100,a11
29,42,39,29,38,100,57,36,43,100,100,42,48,82,85,46,100,64,75,64,a11
30,45,40,29,39,100,100,37,44,100,100,42,50,84,94,47,100,66,86,79,a11
29,36,45,36,35,48,100,47,44,100,100,50,73,77,76,53,100,59,59,100,a11
29,37,61,37,36,49,100,47,46,100,100,50,76,78,77,53,100,59,59,100,a11
30,46,41,29,39,100,100,37,44,100,100,42,48,74,76,46,100,58,60,100,a11
31,90,47,30,40,100,100,39,46,100,100,44,54,100,100,48,100,58,61,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
31,90,47,30,40,100,100,39,46,100,100,44,54,100,100,48,100,58,61,100,a11
31,90,47,30,40,100,100,39,46,100,100,44,54,100,100,48,100,58,61,100,a11
30,46,41,29,39,100,100,37,44,100,100,42,48,74,76,46,100,58,60,100,a11
30,46,45,29,39,100,100,38,44,100,100,43,48,76,77,47,100,59,61,100,a11
30,68,38,27,39,100,49,34,44,100,100,38,48,76,91,40,100,59,64,36,a11
30,100,42,28,39,100,100,35,44,100,100,39,48,100,100,41,100,61,85,36,a11
28,35,100,30,35,46,100,40,40,100,100,43,44,100,100,44,100,59,64,40,a11
28,35,100,29,35,47,100,40,40,100,100,43,44,100,100,43,100,60,67,38,a11
30,68,38,27,39,100,49,34,44,100,100,38,48,76,91,40,100,59,64,36,a11
29,100,36,27,39,100,49,34,44,100,100,38,48,100,100,40,100,60,69,35,a11
30,46,41,29,39,100,100,37,44,100,100,42,48,100,100,46,100,58,60,100,a11
29,47,41,28,39,100,100,36,44,100,100,42,49,100,100,45,100,59,61,100,a11
29,49,35,28,38,100,49,35,44,100,100,40,48,75,77,43,100,59,59,75,a11
29,90,36,28,39,100,52,35,44,100,100,40,49,76,81,44,100,60,60,100,a11
29,44,40,28,38,100,100,36,43,100,100,41,47,75,76,44,100,59,59,53,a11
31,100,48,30,40,100,100,38,46,100,100,43,50,100,100,48,100,61,62,100,a11
30,52,40,29,39,100,100,37,45,100,100,42,49,75,76,45,100,59,60,100,a11
31,75,41,29,40,100,100,37,45,100,100,42,49,76,77,46,100,59,61,100,a11
29,44,41,28,38,100,100,36,43,100,100,42,47,75,76,45,100,59,59,75,a11
31,100,50,29,41,100,100,39,46,100,100,44,68,100,100,48,100,61,62,100,a11
29,36,35,28,37,54,50,36,43,100,100,42,49,84,87,47,100,63,89,64,a11
29,38,36,28,38,100,51,36,44,100,100,41,50,88,100,47,100,67,100,100,a11
29,41,39,28,37,100,100,36,43,100,100,41,46,100,100,45,100,59,59,57,a11
29,49,42,28,39,100,100,37,44,100,100,42,48,100,100,46,100,60,61,100,a11
29,46,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
30,54,42,29,39,100,100,37,44,100,100,42,49,76,77,46,100,59,61,100,a11
29,36,39,28,37,51,53,37,43,100,100,43,49,86,88,48,90,67,89,64,a11
29,37,40,28,37,52,75,37,43,100,100,43,49,89,100,48,100,78,100,100,a11
29,44,39,28,38,100,100,36,43,100,100,41,47,100,100,44,100,59,60,55,a11
30,100,53,29,40,100,100,39,46,100,100,44,50,100,100,48,100,61,63,100,a11
29,44,39,29,38,100,90,36,43,100,100,41,47,72,73,44,100,57,58,90,a11
30,49,40,28,39,100,100,36,44,100,100,41,48,74,76,44,100,58,59,90,a11
30,100,29,23,40,100,39,28,45,100,44,31,49,88,49,30,90,69,90,23,a11
31,100,31,24,40,100,41,29,45,100,46,33,49,90,51,32,100,72,100,25,a11
30,100,29,23,40,100,39,28,45,100,44,31,49,88,49,30,90,69,90,23,a11
31,100,31,24,40,100,41,29,45,100,46,33,49,90,51,32,100,72,100,25,a11
30,100,29,23,40,100,39,28,45,100,44,31,49,88,49,30,90,69,90,23,a11
31,100,31,24,40,100,41,29,45,100,46,33,49,90,51,32,100,72,100,25,a11
30,100,29,23,40,100,39,28,45,100,44,31,49,88,49,30,90,69,90,23,a11
31,100,31,24,40,100,41,29,45,100,46,33,49,90,51,32,100,72,100,25,a11
30,49,38,28,39,100,100,36,44,100,100,41,49,75,76,45,100,59,60,100,a11
31,100,41,29,40,100,100,37,46,100,100,42,54,76,78,46,100,59,61,100,a11
35,100,36,28,50,100,54,36,53,100,100,42,57,86,88,48,100,67,100,100,a11
36,100,38,28,50,100,100,37,53,100,100,43,57,89,91,48,100,86,100,100,a11
31,100,27,20,43,100,36,24,54,100,39,26,100,83,37,24,66,62,26,19,a11
